"","YEAR","WEEK","cases","week"
"1",2023,1,103,1
"2",2023,2,42,2
"3",2023,3,27,3
"4",2023,4,20,4
"5",2023,5,17,5
"6",2023,6,22,6
"7",2023,7,8,7
"8",2023,8,3,8
"9",2023,9,6,9
"10",2023,10,6,10
"11",2023,11,4,11
"12",2023,12,1,12
"13",2023,13,5,13
"14",2023,14,2,14
"15",2023,15,6,15
"16",2023,16,5,16
"17",2023,17,13,17
"18",2023,18,14,18
"19",2023,19,6,19
"20",2023,20,8,20
"21",2023,21,9,21
"22",2023,22,4,22
"23",2023,23,11,23
"24",2023,24,7,24
"25",2023,25,7,25
"26",2023,26,2,26
"27",2023,27,0,27
"28",2023,28,1,28
"29",2023,29,1,29
"30",2023,30,1,30
"31",2023,31,0,31
"32",2023,32,0,32
"33",2023,33,1,33
"34",2023,34,1,34
"35",2023,35,1,35
"36",2023,36,0,36
"37",2023,37,1,37
"38",2023,38,1,38
"39",2023,39,2,39
"40",2023,40,0,40
"41",2023,41,1,41
"42",2023,42,0,42
"43",2023,43,3,43
"44",2023,44,6,44
"45",2023,45,3,45
"46",2023,46,5,46
"47",2023,47,9,47
"48",2023,48,20,48
"49",2023,49,20,49
"50",2023,50,31,50
"51",2023,51,81,51
"52",2023,52,119,52
"53",2024,1,75,53
"54",2024,2,75,54
"55",2024,3,63,55
"56",2024,4,78,56
"57",2024,5,85,57
"58",2024,6,117,58
"59",2024,7,103,59
"60",2024,8,139,60
"61",2024,9,137,61
"62",2024,10,123,62
"63",2024,11,120,63
"64",2024,12,91,64
"65",2024,13,83,65
"66",2024,14,83,66
"67",2024,15,48,67
"68",2024,16,29,68
"69",2024,17,20,69
"70",2024,18,18,70
"71",2024,19,4,71
"72",2024,20,4,72
"73",2024,21,4,73
"74",2024,22,6,74
"75",2024,23,2,75
"76",2024,24,2,76
"77",2024,25,0,77
"78",2024,26,0,78
"79",2024,27,0,79
"80",2024,28,1,80
"81",2024,29,0,81
"82",2024,30,2,82
"83",2024,31,1,83
"84",2024,32,0,84
"85",2024,33,1,85
"86",2024,34,0,86
"87",2024,35,0,87
"88",2024,36,0,88
"89",2024,37,2,89
"90",2024,38,1,90
"91",2024,39,1,91
"92",2024,40,1,92
"93",2024,41,2,93
"94",2024,42,4,94
"95",2024,43,5,95
"96",2024,44,3,96
"97",2024,45,4,97
"98",2024,46,8,98
"99",2024,47,9,99
"100",2024,48,8,100
"101",2024,49,15,101
"102",2024,50,31,102
"103",2024,51,63,103
"104",2024,52,131,104
"105",2025,1,111,105
"106",2025,2,97,106
"107",2025,3,168,107
"108",2025,4,206,108
"109",2025,5,208,109
"110",2025,6,252,110
"111",2025,7,262,111
"112",2025,8,204,112
"113",2025,9,140,113
"114",2025,10,102,114
"115",2025,11,102,115
"116",2025,12,59,116
